"profile","minute","setpoint"
27,0,27
27,26,27
27,51,27
27,77,27
27,103,27
27,129,27
27,154,27
27,180,27
27,206,27
27,231,27
27,257,27
27,283,27
27,309,27
27,334,27
27,360,27
28,0,27
28,26,27.05
28,51,27.17
28,77,27.35
28,103,27.56
28,129,27.76
28,154,27.91
28,180,27.99
28,206,27.99
28,231,27.9
28,257,27.74
28,283,27.54
28,309,27.34
28,334,27.16
28,360,27.04
29,0,27
29,26,27.09
29,51,27.34
29,77,27.71
29,103,28.12
29,129,28.52
29,154,28.82
29,180,28.98
29,206,28.97
29,231,28.8
29,257,28.48
29,283,28.09
29,309,27.67
29,334,27.32
29,360,27.08
30,0,27
30,26,27.14
30,51,27.52
30,77,28.06
30,103,28.68
30,129,29.27
30,154,29.73
30,180,29.97
30,206,29.96
30,231,29.7
30,257,29.23
30,283,28.63
30,309,28.01
30,334,27.48
30,360,27.12
31,0,27
31,26,27.19
31,51,27.69
31,77,28.42
31,103,29.24
31,129,30.03
31,154,30.64
31,180,30.96
31,206,30.95
31,231,30.6
31,257,29.97
31,283,29.17
31,309,28.35
31,334,27.64
31,360,27.16
32,0,27
32,26,27.23
32,51,27.86
32,77,28.77
32,103,29.8
32,129,30.79
32,154,31.55
32,180,31.95
32,206,31.94
32,231,31.5
32,257,30.71
32,283,29.72
32,309,28.69
32,334,27.8
32,360,27.2
33,0,27
33,26,27.28
33,51,28.03
33,77,29.12
33,103,30.37
33,129,31.55
33,154,32.46
33,180,32.94
33,206,32.92
33,231,32.4
33,257,31.45
33,283,30.26
33,309,29.02
33,334,27.92
33,360,27.22
34,0,NA
34,26,27.33
34,51,28.2
34,77,29.48
34,103,30.93
34,129,32.3
34,154,33.37
34,180,33.94
34,206,33.91
34,231,33.3
34,257,32.2
34,283,30.8
34,309,29.36
34,334,28.11
34,360,27.28
35,0,NA
35,26,27.35
35,51,28.38
35,77,29.83
35,103,31.49
35,129,33.06
35,154,34.28
35,180,34.93
35,206,34.9
35,231,34.19
35,257,32.94
35,283,31.35
35,309,29.7
35,334,28.27
35,360,27.32
36,0,NA
36,26,27.39
36,51,28.49
36,77,30.18
36,103,32.05
36,129,33.82
36,154,35.19
36,180,35.92
36,206,35.88
36,231,35.09
36,257,33.68
36,283,31.89
36,309,30.03
36,334,28.43
36,360,27.36
37,0,27
37,26,27.47
37,51,28.72
37,77,30.54
37,103,32.61
37,129,34.58
37,154,36.1
37,180,36.91
37,206,36.87
37,231,35.99
37,257,34.42
37,283,32.44
37,309,30.37
37,334,28.59
37,360,27.4
38,0,27
38,26,27.52
38,51,28.89
38,77,30.89
38,103,33.17
38,129,35.33
38,154,37.01
38,180,37.9
38,206,37.86
38,231,36.89
38,257,35.17
38,283,32.98
38,309,30.71
38,334,28.75
38,360,27.44
